Bill_no.,Status,Doc_name,Doc _url
SB 1,Pending,Providing for parity of payment for telehealth services between service in-person and service provided through telehealth platform,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB1 INTR.pdf
SB 2,Pending,Relating generally to economic development loans and state-issued loan insurance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB2 INTR.pdf
SB 3,Pending,Relating to COVID Liability ,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB3 INTR.pdf
SB 4,Pending,Creating Intermediate Court of Appeals,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB4 INTR.pdf
SB 5,Signed,Relating to claims arising out of WV Consumer Credit and Protection Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB5 SUB1 ENR.pdf
SB 6,Pending,Creating WV Employment Law Worker Classification Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB6 INTR.pdf
SB 7,Pending,Limiting political activity by public employees,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB7 SUB1 ENG.pdf
SB 8,Pending,Relating to castle doctrine and self-defense standards,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB8 INTR.pdf
SB 9,Signed,Continuing Licensed Racetrack Modernization Fund,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB9 SUB1 ENR.pdf
SB 10,Signed,Modifying racetrack licensing due date,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB10 ENR.pdf
SB 11,BL,Declaring work stoppage or strike by public employees to be unlawful,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB11 SUB1 ENR.pdf
SB 12,Signed,Relating to local health department accountability,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB12 SUB1 ENR.pdf
SB 13,Pending,Protecting rights of conscience for child welfare services providers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB13 INTR.pdf
SB 14,Signed,Providing for additional options for alternative certification for teachers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB14 SUB1 ENR.pdf
SB 15,Pending,Relating generally to in-field master’s degree,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB15 SUB1 ENG.pdf
SB 16,Pending,Providing continued eligibility for developmental disability services to dependents of military members,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB16 INTR.pdf
SB 17,Pending,Requiring certain disclosures of election expenditures,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB17 INTR.pdf
SB 18,Pending,"(""Allowing workers' compensation for first responders diagnosed with PTSD due to event during employment"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB18 INTR.pdf
SB 19,Pending,Designating DHHR social workers to promote school attendance and performance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB19 INTR.pdf
SB 20,Pending,Creating litigation practice license for social workers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB20 INTR.pdf
SB 21,Pending,Relating generally to Consolidated Public Retirement Board,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB21 INTR.pdf
SB 22,Pending,Relating to surcharge on fire and casualty insurance policies for funding volunteer fire departments,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB22 INTR.pdf
SB 23,Pending,Requiring county boards of education establish program for random drug testing of student drivers and student athletes,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB23 INTR.pdf
SB 24,Pending,Limiting liability of employers in cases where certain crime convictions are expunged,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB24 INTR.pdf
SB 25,Pending,Requiring minors in possession of marijuana and their parents to attend classes on danger of marijuana,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB25 INTR.pdf
SB 26,Pending,"Limiting penalty for possession of marijuana to no more than $1,000 without confinement ",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB26 INTR.pdf
SB 27,Pending,Allowing voters who register in person with county clerk to vote during early in-person voting,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB27 INTR.pdf
SB 28,Pending,Creating Open and Equal Opportunities in Student Activities Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB28 SUB1.pdf
SB 29,Pending,Authorizing fee payment and expense reimbursement for attorneys participating on court teams established by Supreme Court of Appeals,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB29 INTR.pdf
SB 30,Pending,Permitting third-party ownership of renewable and alternative energy generating facilities,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB30 INTR.pdf
SB 31,Pending,Relating to custodial allocation actions independent of divorce,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB31 INTR.pdf
SB 32,Pending,Relating to valuation of natural resources land property,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB32 INTR.pdf
SB 33,Pending,Creating State Settlement and Recovered Funds Accountability Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB33 INTR.pdf
SB 34,Signed,Creating exemption to state sales and use tax for rental and leasing of equipment,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB34 SUB1 ENR.pdf
SB 35,Pending,Requiring establishment of paternity before awarding DHHR benefits,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB35 INTR.pdf
SB 36,Pending,Relating to WV Secondary School Activities Commission audits,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB36 SUB1.pdf
SB 37,Pending,"Prohibiting registered lobbyists from appointment to state legislative, executive, or judicial position for five years",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB37 INTR.pdf
SB 38,Pending,Creating WV Black Lung Program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB38 INTR.pdf
SB 39,Pending,Prohibiting insurance coverage from requiring prior authorization for tests to stage cancer,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB39 INTR.pdf
SB 40,Pending,Ensuring insurance coverage for residents with preexisting conditions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB40 INTR.pdf
SB 41,Pending,Relating generally to occupational pneumoconiosis,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB41 INTR.pdf
SB 42,Signed,Creating Zombie Property Remediation Act of 2021,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB42 SUB1 ENR.pdf
SB 43,Pending,Relating to Pay Transparency Act of 2021,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB43 INTR.pdf
SB 44,Pending,Creating WV Call Center Jobs Act of 2021,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB44 INTR.pdf
SB 45,Pending,Relating to required equipment for State Police and Natural Resources police officers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB45 INTR.pdf
SB 46,Pending,Requiring one-year residency within district or county to fill vacancy in Legislature,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB46 INTR.pdf
SB 47,Pending,Creating New Worker Relocation Incentive Program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB47 INTR.pdf
SB 48,Pending,Prohibiting employment of unauthorized employees in construction industry,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB48 INTR.pdf
SB 49,Pending,"(""Requiring PACs disclose contributors' names and addresses to Secretary of State"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB49 INTR.pdf
SB 50,Pending,Relating generally to adoption records,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB50 INTR.pdf
SB 51,Pending,Requiring dairy foods processed in state be added to list of items to be purchased by state-funded institutions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB51 INTR.pdf
SB 52,Pending,Relating to payment of attorney fees in subsidized adoptions or guardianships,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB52 INTR.pdf
SB 53,Pending,"(""Providing person criminally responsible for another's death may not be involved in burial arrangements"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB53 SUB1 ENG.pdf
SB 54,Pending,Permitting photo identification on voter registration cards,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB54 INTR.pdf
SB 55,Pending,"Allowing municipalities to contract projects up to $50,000 without bidding",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB55 INTR.pdf
SB 56,Pending,Eliminating requirement that schools be closed on election days,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB56 INTR.pdf
SB 57,Pending,Staying civil actions resulting from domestic violence for 60 days from date of final order,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB57 INTR.pdf
SB 58,Pending,Creating WV Farm Fresh Dairy Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB58 INTR.pdf
SB 59,Pending,Reporting motor vehicle crashes to owners,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB59 INTR.pdf
SB 60,Pending,Increasing monthly retirement annuity for certain retirees,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB60 INTR.pdf
SB 61,Pending,Expanding Coyote Control Program through voluntary assessment on breeding cows,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB61 INTR.pdf
SB 62,Pending,"(""Changing low-income qualifier to 300 percent or less of federal poverty guideline for senior citizens' homestead tax credit"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB62 INTR.pdf
SB 63,Pending,Creating Taxation with Representation Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB63 INTR.pdf
SB 64,Pending,Allowing certain out-of-state residents ride motorcycle without helmet,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB64 INTR.pdf
SB 65,Pending,Requiring licensed programs for domestic violence victims offer specific services,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB65 INTR.pdf
SB 66,Pending,Creating Voluntary WVU Rifle Team Check-Off Program on hunting and fishing licenses,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB66 SUB1.pdf
SB 67,Signed,Relating to authority of Emergency Medical Services Advisory Council,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB67 ENR.pdf
SB 68,Pending,Relating to excise tax on tobacco products,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB68 INTR.pdf
SB 69,Pending,"Creating ""Choose Life"" special registration plate supporting adoption",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB69 INTR.pdf
SB 70,Pending,Relating to residency requirements for voter registration,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB70 INTR.pdf
SB 71,Pending,Adding grievance and appellate procedures for individuals participating in DMV safety and treatment program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB71 INTR.pdf
SB 72,Pending,Requiring notice be sent to owners of record before real property can be sold due to nonpayment of taxes,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB72 INTR.pdf
SB 73,Pending,Prohibiting discrimination in access to organ transplants based on physical or mental disability,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB73 INTR.pdf
SB 74,Pending,Creating Human Life Non-Discrimination Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB74 INTR.pdf
SB 75,Pending,Prohibiting insurance companies from using credit ratings to establish home and auto premiums,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB75 INTR.pdf
SB 76,Pending,Providing compensation to victims of abusive lawsuits,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB76 INTR.pdf
SB 77,Pending,Allowing certain motorcycle operators to ride without helmet,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB77 INTR.pdf
SB 78,Signed,Relating to rehabilitative spousal support,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB78 ENR.pdf
SB 79,Pending,Providing fair mechanism for adjudication of requests for relocation of parent with child,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB79 SUB1.pdf
SB 80,Signed,Allowing for administration of certain small estates by affidavit and without appointment of personal representative,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB80 SUB1 ENR.pdf
SB 81,Signed,Relating generally to WV Uniform Trust Code,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB81 SUB1 ENR.pdf
SB 82,Pending,Exempting physicians from specified traffic laws when responding to emergencies,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB82 INTR.pdf
SB 83,Pending,Regulating pharmacy services administrative organizations,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB83 INTR.pdf
SB 84,Pending,Relating to allocation of premiums for employers and employees in PEIA,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB84 INTR.pdf
SB 85,Pending,Requiring Public Land Corporation and Real Estate Division review all vacated publicly owned property,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB85 INTR.pdf
SB 86,Pending,Creating Office of Outdoor Recreation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB86 INTR.pdf
SB 87,Pending,Enacting WV Human Life Protection Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB87 INTR.pdf
SB 88,Pending,Exempting WV senior citizens 65 and older from personal income tax,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB88 INTR.pdf
SB 89,Signed,Exempting certain kindergarten and preschool programs offered by private schools from registration requirements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB89 ENR2.pdf
SB 90,Pending,Creating Education Savings Account Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB90 INTR.pdf
SB 91,Pending,Requiring State Police to follow towing services policies of county of location,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB91 INTR.pdf
SB 92,Pending,Establishing Summer Feeding for All Program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB92 INTR.pdf
SB 93,Pending,Providing pay raises to teachers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB93 INTR.pdf
SB 94,Pending,Repealing additional registration fees for alternative fuel vehicles,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB94 INTR.pdf
SB 95,Pending,Creating Corporate Anti-Subsidy Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB95 INTR.pdf
SB 96,Pending,"(""Creating online voters' guide"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB96 INTR.pdf
SB 97,Pending,Modifying procedure certain public agencies use to procure architectural and engineering services contracts,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB97 INTR.pdf
SB 98,Pending,"Providing $1,000 cost-of-living adjustment to certain PERS and State Teachers Retirement System retirees",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB98 INTR.pdf
SB 99,Pending,Creating surcharge on fire and casualty insurance policies to help municipalities and counties with certain fire-related cleanup and demolition,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB99 INTR.pdf
SB 100,Pending,Establishing tax credit for certain physicians who locate to practice in WV,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB100 INTR.pdf
