Bill_no.,Status
"('Providing for parity of payment for telehealth services between service in-person and service provided through telehealth platform',)"
"('Relating generally to economic development loans and state-issued loan insurance',)"
"('Relating to COVID Liability ',)"
"('Creating Intermediate Court of Appeals',)"
"('Relating to claims arising out of WV Consumer Credit and Protection Act',)"
"('Creating WV Employment Law Worker Classification Act',)"
"('Limiting political activity by public employees',)"
"('Relating to castle doctrine and self-defense standards',)"
"('Continuing Licensed Racetrack Modernization Fund',)"
"('Modifying racetrack licensing due date',)"
"('Declaring work stoppage or strike by public employees to be unlawful',)"
"('Relating to local health department accountability',)"
"('Protecting rights of conscience for child welfare services providers',)"
"('Providing for additional options for alternative certification for teachers',)"
"('Relating generally to in-field master’s degree',)"
"('Providing continued eligibility for developmental disability services to dependents of military members',)"
"('Requiring certain disclosures of election expenditures',)"
"(""Allowing workers' compensation for first responders diagnosed with PTSD due to event during employment"",)"
"('Designating DHHR social workers to promote school attendance and performance',)"
"('Creating litigation practice license for social workers',)"
"('Relating generally to Consolidated Public Retirement Board',)"
"('Relating to surcharge on fire and casualty insurance policies for funding volunteer fire departments',)"
"('Requiring county boards of education establish program for random drug testing of student drivers and student athletes',)"
"('Limiting liability of employers in cases where certain crime convictions are expunged',)"
"('Requiring minors in possession of marijuana and their parents to attend classes on danger of marijuana',)"
"('Limiting penalty for possession of marijuana to no more than $1,000 without confinement ',)"
"('Allowing voters who register in person with county clerk to vote during early in-person voting',)"
"('Creating Open and Equal Opportunities in Student Activities Act',)"
"('Authorizing fee payment and expense reimbursement for attorneys participating on court teams established by Supreme Court of Appeals',)"
"('Permitting third-party ownership of renewable and alternative energy generating facilities',)"
"('Relating to custodial allocation actions independent of divorce',)"
"('Relating to valuation of natural resources land property',)"
"('Creating State Settlement and Recovered Funds Accountability Act',)"
"('Creating exemption to state sales and use tax for rental and leasing of equipment',)"
"('Requiring establishment of paternity before awarding DHHR benefits',)"
"('Relating to WV Secondary School Activities Commission audits',)"
"('Prohibiting registered lobbyists from appointment to state legislative, executive, or judicial position for five years',)"
"('Creating WV Black Lung Program',)"
"('Prohibiting insurance coverage from requiring prior authorization for tests to stage cancer',)"
"('Ensuring insurance coverage for residents with preexisting conditions',)"
"('Relating generally to occupational pneumoconiosis',)"
"('Creating Zombie Property Remediation Act of 2021',)"
"('Relating to Pay Transparency Act of 2021',)"
"('Creating WV Call Center Jobs Act of 2021',)"
"('Relating to required equipment for State Police and Natural Resources police officers',)"
"('Requiring one-year residency within district or county to fill vacancy in Legislature',)"
"('Creating New Worker Relocation Incentive Program',)"
"('Prohibiting employment of unauthorized employees in construction industry',)"
"(""Requiring PACs disclose contributors' names and addresses to Secretary of State"",)"
"('Relating generally to adoption records',)"
"('Requiring dairy foods processed in state be added to list of items to be purchased by state-funded institutions',)"
"('Relating to payment of attorney fees in subsidized adoptions or guardianships',)"
"(""Providing person criminally responsible for another's death may not be involved in burial arrangements"",)"
"('Permitting photo identification on voter registration cards',)"
"('Allowing municipalities to contract projects up to $50,000 without bidding',)"
"('Eliminating requirement that schools be closed on election days',)"
"('Staying civil actions resulting from domestic violence for 60 days from date of final order',)"
"('Creating WV Farm Fresh Dairy Act',)"
"('Reporting motor vehicle crashes to owners',)"
"('Increasing monthly retirement annuity for certain retirees',)"
"('Expanding Coyote Control Program through voluntary assessment on breeding cows',)"
"(""Changing low-income qualifier to 300 percent or less of federal poverty guideline for senior citizens' homestead tax credit"",)"
"('Creating Taxation with Representation Act',)"
"('Allowing certain out-of-state residents ride motorcycle without helmet',)"
"('Requiring licensed programs for domestic violence victims offer specific services',)"
"('Creating Voluntary WVU Rifle Team Check-Off Program on hunting and fishing licenses',)"
"('Relating to authority of Emergency Medical Services Advisory Council',)"
"('Relating to excise tax on tobacco products',)"
"('Creating ""Choose Life"" special registration plate supporting adoption',)"
"('Relating to residency requirements for voter registration',)"
"('Adding grievance and appellate procedures for individuals participating in DMV safety and treatment program',)"
"('Requiring notice be sent to owners of record before real property can be sold due to nonpayment of taxes',)"
"('Prohibiting discrimination in access to organ transplants based on physical or mental disability',)"
"('Creating Human Life Non-Discrimination Act',)"
"('Prohibiting insurance companies from using credit ratings to establish home and auto premiums',)"
"('Providing compensation to victims of abusive lawsuits',)"
"('Allowing certain motorcycle operators to ride without helmet',)"
"('Relating to rehabilitative spousal support',)"
"('Providing fair mechanism for adjudication of requests for relocation of parent with child',)"
"('Allowing for administration of certain small estates by affidavit and without appointment of personal representative',)"
"('Relating generally to WV Uniform Trust Code',)"
"('Exempting physicians from specified traffic laws when responding to emergencies',)"
"('Regulating pharmacy services administrative organizations',)"
"('Relating to allocation of premiums for employers and employees in PEIA',)"
"('Requiring Public Land Corporation and Real Estate Division review all vacated publicly owned property',)"
"('Creating Office of Outdoor Recreation',)"
"('Enacting WV Human Life Protection Act',)"
"('Exempting WV senior citizens 65 and older from personal income tax',)"
"('Exempting certain kindergarten and preschool programs offered by private schools from registration requirements',)"
"('Creating Education Savings Account Act',)"
"('Requiring State Police to follow towing services policies of county of location',)"
"('Establishing Summer Feeding for All Program',)"
"('Providing pay raises to teachers',)"
"('Repealing additional registration fees for alternative fuel vehicles',)"
"('Creating Corporate Anti-Subsidy Act',)"
"(""Creating online voters' guide"",)"
"('Modifying procedure certain public agencies use to procure architectural and engineering services contracts',)"
"('Providing $1,000 cost-of-living adjustment to certain PERS and State Teachers Retirement System retirees',)"
"('Creating surcharge on fire and casualty insurance policies to help municipalities and counties with certain fire-related cleanup and demolition',)"
"('Establishing tax credit for certain physicians who locate to practice in WV',)"
"('Authorizing tax credit for business entities which invest in certain fresh food retailers',)"
"('Allowing disabled veterans and purple heart recipients park free at paid parking of state or its political subdivisions',)"
"('Relating to employment of nurses in public schools',)"
"('Creating Patient Safety and Transparency Act',)"
"('Relating to retirees employed as substitute bus drivers',)"
"('Creating personal income tax credit for volunteer firefighters',)"
"('Including certain types of cancers for which rebuttable presumption of injury exists for firefighters',)"
"('Prohibiting racial discrimination based on certain hair textures and hairstyles',)"
"('Prohibiting civil rights violations',)"
"('Adjusting distance from polling place certain election-related activity is prohibited',)"
"('Exempting firearm safe storage products from consumers sales tax',)"
"('Relating to mobility impairment identifying documents',)"
"('Creating Wholesale Prescription Drug Importation Program',)"
"('Permitting certain veterans to hunt, trap, or fish in state without license',)"
"('Exempting emergency vehicles and private ambulances from paying tolls or other charges',)"
"('Drug testing of legislators',)"
"('Creating Stay in State Tax Credit',)"
"('Require parental notification of minors being prescribed contraceptives',)"
"('Prohibiting certain misleading pharmaceutical advertising practices',)"
"('Requiring wholesale drug distributors to report certain information to WV Board of Pharmacy',)"
"('Exempting nonprofit corporations from property tax for certain agricultural and industrial fairs and expositions',)"
"('Allowing counties to hold inmates under certain circumstances in county jail',)"
"('Changing determination of compensation paid to landowner when eminent domain used for pipeline',)"
"('Relating to insulin cost management',)"
"('Budget Bill',)"
"('Authorizing Department of Administration to promulgate legislative rules',)"
"('State Board of Risk and Insurance Management rule relating to mine subsidence insurance',)"
"('State Board of Risk and Insurance Management rule relating to public entities insurance program',)"
"('State Board of Risk and Insurance Management rule relating to procedures for providing written notification of claims of potential liability to state or its employees.',)"
"('DEP rule relating to ambient air quality standards',)"
"('DEP rule relating to standards of performance for new stationary sources',)"
"('DEP rule relating to control of air pollution from combustion of solid waste',)"
"('DEP rule relating to control of air pollution from municipal solid waste landfills',)"
"('DEP rule relating to acid rain provisions and permits',)"
"('DEP rule relating to emission standards for hazardous air pollutants.',)"
"('DEP rule relating to control of greenhouse gas emissions from existing coal-fired electric utility generating units',)"
"('DEP rule relating to requirements governing water quality standards',)"
"('DEP rule relating to hazardous waste management system',)"
"('DEP rule relating to voluntary remediation and redevelopment rule',)"
"('Division of Rehabilitation Services rule relating to Ron Yost Personal Assistance Services Act Board',)"
"('DHHR rule relating to behavioral health centers licensure',)"
"('DHHR rule relating to hospital licensure',)"
"('DHHR rule relating to nursing home licensure',)"
"('DHHR rule relating to lead abatement licensing',)"
"('DHHR rule relating to emergency medical services',)"
"('DHHR rule relating to client rights at state-operated mental health facilities',)"
"('DHHR rule relating to delegation of medication administration and health maintenance tasks to approved medication assistive personnel',)"
"('DHHR rule relating to public health standards for businesses remaining open during COVID-19 outbreak',)"
"('DHHR rule relating to diabetes self-management education',)"
"('DHHR rule relating to WV clearance for access, registry, and employment screening',)"
"('DHHR rule relating to recovery residence certification and accreditation program',)"
"('DHHR rule relating to child placing agencies licensure',)"
"('DHHR rule relating to minimum licensing requirements for residential child care and treatment facilities for children and transitioning adults and vulnerable and transitioning youth group homes and programs in WV',)"
"('DHHR rule relating to procedure to contest substantiation of child abuse or neglect',)"
"('Health Care Authority rule relating to exemption from certificate of need',)"
"('Authorizing Department of Homeland Security to promulgate legislative rules',)"
"('Fire Marshal rule relating to standards for certification and continuing education municipal, county, and other public sector building code officials, building code inspectors, and plans examiners',)"
"('State Emergency Response Commission rule relating to emergency planning and community right to know',)"
"('State Emergency Response Commission rule relating to emergency planning grant program',)"
"('Authorizing Department of Revenue to promulgate legislative rules',)"
"('Alcohol Beverage Control Commission rule relating to distilleries, mini-distilleries, and micro-distilleries',)"
"('Division of Financial Institutions rule relating to Fintech Regulatory Sandbox Program',)"
"('Insurance Commissioner rule relating to fingerprinting requirements for applicants for insurance producer and insurance adjuster license',)"
"('Insurance Commissioner rule relating to insurance adjusters',)"
"(' Insurance Commissioner rule relating to credit for reinsurance',)"
"('Insurance Commissioner rule relating to continuing education for individual insurance producers and individual insurance adjusters',)"
"('Insurance Commissioner rule relating to mental health parity',)"
"('Insurance Commissioner rule relating to health benefit plan network access and adequacy',)"
"('Municipal Pensions Oversight Board rule relating to exempt purchasing',)"
"('Racing Commission rule relating to thoroughbred racing',)"
"('Racing Commission rule relating to greyhound racing',)"
"('Racing Commission rule relating to advance deposit account wagering',)"
"('Lottery Commission rule relating to WV lottery interactive wagering rule',)"
"('State Tax Department rule relating to tax credit for providing vehicles to low-income workers',)"
"('State Tax Department rule relating to downstream natural gas manufacturing investment tax credit',)"
"('State Tax Department rule relating to high-wage growth business tax credit',)"
"('DOH rule relating to traffic and safety rules',)"
"(""DMV rule relating to examination and issuance of driver's license"",)"
"('DMV rule relating to denial, suspension, revocation, disqualification, restriction, non-renewal, cancellation, administrative appeals, and reinstatement of driving privileges',)"
"('DMV rule relating to compulsory motor vehicle liability insurance',)"
"('DMV rule relating to special purpose vehicles',)"
"('Authorizing miscellaneous agencies and boards to promulgate legislative rules',)"
"('Commissioner of Agriculture rule relating to WV Seed Law',)"
"('Commissioner of Agriculture rule relating to inspection of meat and poultry',)"
"('Commissioner of Agriculture rule relating to poultry litter and manure movement into primary poultry breeder rearing areas',)"
"('Commissioner of Agriculture rule relating to seed certification program',)"
"('Commissioner of Agriculture rule relating to WV exempted dairy farms and milk and milk products processing rules',)"
"('Auditor rule relating to standards for requisitions for payment issued by State Officers on Auditor',)"
"('Board of Funeral Service Examiners rule relating to funeral director, embalmer, apprentice, courtesy card holders, and funeral establishment requirements',)"
"('Board of Funeral Service Examiners rule relating to crematory requirements',)"
"('Board of Funeral Service Examiners rule relating to fee schedule',)"
"('Board of Hearing Aid Dealers rule relating to rule governing the West Virginia Board of Hearing Aid Dealers',)"
"('Board of Landscape Architects rule relating to registration of landscape architects',)"
"('Board of Landscape Architects rule relating to application for waiver of initial licensing fees for certain individuals',)"
"('Livestock Care Standards Board rule relating to livestock care standards',)"
"('Board of Medicine rule relating to registration to practice during declared state of emergency',)"
"('Board of Occupational Therapy rule relating to telehealth practice; requirements, definitions',)"
"('Board of Osteopathic Medicine rule relating to licensing procedures for osteopathic physicians',)"
"('Board of Osteopathic Medicine rule relating to emergency temporary permits to practice during states of emergency or states of preparedness',)"
"('Board of Pharmacy rule relating to licensure and practice of pharmacy',)"
"('Board of Pharmacy rule relating to Uniform Controlled Substances Act',)"
"('Board of Pharmacy rule relating to Board of Pharmacy rules for continuing education for licensure of pharmacists',)"
"('Board of Pharmacy rule relating to licensure of wholesale drug distributors, third-party logistics providers, and manufacturers',)"
"('Board of Pharmacy rule relating to controlled substances monitoring program',)"
"('Board of Pharmacy rule relating to board of pharmacy rules for immunizations administered by pharmacists and pharmacy interns',)"
"('Board of Physical Therapy rule relating to general provisions for physical therapist and physical therapist assistants',)"
"('Board of Physical Therapy rule relating to fees for physical therapist and physical therapist assistants',)"
"('Board of Physical Therapy rule relating to general provisions for athletic trainers',)"
"('Board of Physical Therapy rule relating to fees for athletic trainers',)"
"('Board of Professional Surveyors rule relating to examination and licensing of professional surveyors in WV',)"
"('Real Estate Commission rule relating to licensing real estate brokers, associate brokers, and salespersons and conduct of brokerage business',)"
"('Board of Respiratory Care rule relating to criteria for licensure',)"
"('Secretary of State rule relating to loan and grant programs under the Help America Vote Act for purchase of voting equipment, election systems, software, services, and upgrades',)"
"('Secretary of State rule relating to guidelines and standards for electronic notarization',)"
"('Bureau of Senior Services rule relating to shared table initiative for senior citizens',)"
"('Authorizing Department of Commerce to promulgate legislative rules',)"
"('Division of Labor rule relating to high pressure steam boiler and forced flow steam generator requirements',)"
"(""Office of Miners' Health, Safety, and Training rule relating to rule governing submission and approval of comprehensive mine safety program for coal mining operations in WV."",)"
"('Division of Natural Resources rule relating to Cabwaylingo State Forest trail system two-year pilot program permitting ATVs and ORVs',)"
"('DNR rule relating to defining terms used in all hunting and trapping',)"
"('DNR rule relating to deer hunting rule',)"
"('DNR rule relating to special migratory game bird hunting',)"
"('DNR rule relating to special waterfowl hunting',)"
"('Creating Emergency Medical Services Personnel Loan Forgiveness Program',)"
"('Creating tax credit for persons who successfully complete firearms safety course',)"
"('Authorizing transfer of accrued personal leave of former county board of education employee when subsequently employed by state agency',)"
"('Creating position of homeless education coordinator in certain counties',)"
"(""Supplemental appropriation from State Excess Lottery Revenue Fund to Department of Veterans' Assistance, Veterans' Home Fund"",)"
"('Implementing system for ranked choice voting for election of justices to WV Supreme Court of Appeals',)"
"('Prohibiting civil rights violations',)"
"('Relating generally to medical cannabis',)"
"('Establishing Stay in State tax credit',)"
"('Relating to insurance coverage for insulin',)"
"('Ensuring coverage for residents with preexisting conditions',)"
"('Middle School Technical Education Program Act',)"
"('Adding certain cancers as rebuttable presumption for injuries, diseases for professional firefighters',)"
"('Implementing trauma-informed practices in schools',)"
"('Expanding early childhood education programs to three-year-old children',)"
"('Establishing vocational-technical programs in middle schools',)"
"('Allowing workers’ compensation benefits for first responders diagnosed with PTSD',)"
"('Providing tax credit to new graduates of in-state or out-of-state higher educational institution, community or technical college, or trade school',)"
"('Establishing Promise for All Scholarship Program',)"
"('Prohibiting charging fee for parking in accessible parking space bearing international symbol of access',)"
"('Making it unlawful for public utility to prohibit customers from hiring contractors to construct, install, or maintain connections to public utility',)"
"('Providing 11-month window to allow PERS members to purchase credited service',)"
"('Allowing licensed employees, staff, and students of public universities to carry concealed weapon',)"
"('Authorizing Commissioner of Highways to designate road as historic route',)"
"('Requiring DHHR collaborate with Workforce Development Board and WV Division of Personnel for purposes of job placement',)"
"('Creating Health Care Choice Act',)"
"('Prohibiting abuser of child from making contact with victim for 10 years',)"
"('Creating Living Infants Fairness and Equality Act',)"
"('Relating to unlawful discriminatory practices covered by Human Rights Act and Fair Housing Act',)"
"('Implementing Business PROMISE+ Scholarship',)"
"('Adding definitions of “sexual orientation” and “gender identity” to categories covered by Human Rights Act',)"
"('Relating to wholesale importation of prescription drugs',)"
"('Prohibiting insurers from denying coverage as result of preexisting condition',)"
"('Relating to prohibition on short-term duration health insurance',)"
"('Relating to taxation of prescription opioids',)"
"('Authorizing small private employers to buy-in to PEIA',)"
"('Establishing Minority Health Advisory Team',)"
"(""Authorizing Office of Administrative Hearings hear appeals on suspension or revocation of graduated driver's license"",)"
"('Requiring certain municipalities pay for incarceration of inmates',)"
"('Permitting online raffles to benefit charitable and public service organizations',)"
"('Relating generally to licenses to sell paraphernalia for use with controlled substances',)"
"('Relating to sale of delinquent tax liens',)"
"('Creating Uniform Easement Relocation Act',)"
"('Relating to payment of taxes by co-owners',)"
"('Prohibiting insurance discrimination against firearms manufacturers',)"
"('Relating to Universal Recognition of Occupational Licenses Act',)"
"('Providing for collection of tax by hotel marketplace facilitators',)"
"('Updating meaning of ""federal taxable income"" and certain other terms used in WV Corporation Net Income Tax Act',)"
"('Relating to WV Employment Law Worker Classification Act',)"
"('Expanding use of telemedicine to all medical personnel',)"
"('Elevating Economic Development and Tourism departments',)"
